probeid	name_show	type	pubchemid	cmpdsynonym	mw	mf	polararea	complexity	xlogp	heavycnt	hbonddonor	hbondacc	rotbonds	inchi	isosmiles	canonicalsmiles	inchikey	iupacname
LDPC0009	STPyne	ABPP Probe	91757886	Pentynoic acid STP ester; 1807530-14-8; BP-22525; Sodium 2,3,5,6-tetrafluoro-4-(pent-4-ynoyloxy)benzenesulfonate	348.2	C11H5F4NaO5S	91.9	526	.	22	0	9	5	InChI=1S/C11H6F4O5S.Na/c1-2-3-4-5(16)20-10-6(12)8(14)11(21(17,18)19)9(15)7(10)13;/h1H,3-4H2,(H,17,18,19);/q;+1/p-1	C#CCCC(=O)OC1=C(C(=C(C(=C1F)F)S(=O)(=O)[O-])F)F.[Na+]	C#CCCC(=O)OC1=C(C(=C(C(=C1F)F)S(=O)(=O)[O-])F)F.[Na+]	QVSTTZKAIDTZNG-UHFFFAOYSA-M	sodium;2,3,5,6-tetrafluoro-4-pent-4-ynoyloxybenzenesulfonate
LDPC0010	NHS	ABPP Probe	59805478	5-Hexynoic NHS Ester; 906564-59-8; Propargyl-C2-NHS ester; 2,5-dioxopyrrolidin-1-yl hex-5-ynoate; Alkyne NHS ester (hexynoic acid NHS ester); 5-hexynoic acid NHS ester; 5-Hexynoic Acid-NHS Ester; 5-Hexynoic acid, 2,5-dioxo-1-pyrrolidinyl ester; 5-HexynoicNHSEster; 5-exynoic acid NHS ester; N-succinimidyl 5-hexynoate; SCHEMBL1700762; AMY27299; MFCD28898858; AKOS032946545; BP-24461; MS-23146; PD125939; (2,5-dioxopyrrolidin-1-yl) hex-5-ynoate; HY-126512; CS-0105050; F71730; A903912; Hex-5-ynoic acid 2,5-dioxo-pyrrolidin-1-yl ester; R01-0002	209.2	C10H11NO4	63.7	323	0.1	15	0	4	5	InChI=1S/C10H11NO4/c1-2-3-4-5-10(14)15-11-8(12)6-7-9(11)13/h1H,3-7H2	C#CCCCC(=O)ON1C(=O)CCC1=O	C#CCCCC(=O)ON1C(=O)CCC1=O	CXSSWEBEHUYETJ-UHFFFAOYSA-N	(2,5-dioxopyrrolidin-1-yl) hex-5-ynoate
LDPC0011	Diazir	PAL-AfBPP Probe	118987360	1450754-41-2; 2-(3-but-3-ynyl-3H-diazirin-3-yl)-ethanol; 3-(3-Butyn-1-yl)-3H-diazirine-3-ethanol; 2-(3-but-3-ynyldiazirin-3-yl)ethanol; MFCD29918290; 2-(3-(but-3-yn-1-yl)-3H-diazirin-3-yl)ethan-1-ol; 3H-Diazirine-3-ethanol, 3-(3-butyn-1-yl)-; 2-[3-(but-3-yn-1-yl)-3H-diazirin-3-yl]ethan-1-ol; 3-(3-Butynyl)-3H-diazirine-3-ethanol; SCHEMBL20680946; DTXSID801278943; AKOS026720521; DS-19296; SY106324; DB-121580; CS-0106038; 2-(3-But-3-ynyl-3H-diazirin-3-yl)ethanol; EN300-227135; N11436; A920636; 2-[3-(BUT-3-YN-1-YL)DIAZIRIN-3-YL]ETHANOL; 2-(3-But-3-ynyl-3H-diazirin-3-yl)-ethanol, >=95%; F2197-0240; Z1898593365	138.17	C7H10N2O	45	183	0.8	10	1	3	4	InChI=1S/C7H10N2O/c1-2-3-4-7(5-6-10)8-9-7/h1,10H,3-6H2	C#CCCC1(N=N1)CCO	C#CCCC1(N=N1)CCO	NMIZSJAOOMXKDJ-UHFFFAOYSA-N	2-(3-but-3-ynyldiazirin-3-yl)ethanol
LDPC0012	HRP	ABPP Probe	90319659	SCHEMBL15924294	233.26	C13H15NO3	69.6	294	-0.2	17	3	3	5	InChI=1S/C13H15NO3/c1-2-3-4-13(17)14-8-7-10-5-6-11(15)12(16)9-10/h1,5-6,9,15-16H,3-4,7-8H2,(H,14,17)	C#CCCC(=O)NCCC1=CC(=C(C=C1)O)O	C#CCCC(=O)NCCC1=CC(=C(C=C1)O)O	QTFKCGYVLHYGNP-UHFFFAOYSA-N	N-[2-(3,4-dihydroxyphenyl)ethyl]pent-4-ynamide
LDPC0013	Dyn-2	ABPP Probe	53488202	DYn-2; 1354630-46-8; 4-(Pent-4-yn-1-yl)cyclohexane-1,3-dione; ANTI-DYNAMIN II; 4-pent-4-ynylcyclohexane-1,3-dione; CHEMBL4520299; SCHEMBL15782162; AKOS040756379; HY-116424; CS-0065449; EN300-20983758	178.23	C11H14O2	34.1	257	1.5	13	0	2	3	InChI=1S/C11H14O2/c1-2-3-4-5-9-6-7-10(12)8-11(9)13/h1,9H,3-8H2	C#CCCCC1CCC(=O)CC1=O	C#CCCCC1CCC(=O)CC1=O	UNMICBPHYXLMRA-UHFFFAOYSA-N	4-pent-4-ynylcyclohexane-1,3-dione
LDPC0014	WYneC	ABPP Probe	131719442	GZOJNGHPVJJRIK-UHFFFAOYSA-N; (3-Butinyl)-carbonylmethylenetriphenyl phosphorane	356.4	C24H21OP	17.1	496	4.1	26	0	1	6	InChI=1S/C24H21OP/c1-2-3-13-21(25)20-26(22-14-7-4-8-15-22,23-16-9-5-10-17-23)24-18-11-6-12-19-24/h1,4-12,14-20H,3,13H2	C#CCCC(=O)C=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3	C#CCCC(=O)C=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3	GZOJNGHPVJJRIK-UHFFFAOYSA-N	1-(triphenyl-lambda5-phosphanylidene)hex-5-yn-2-one
LDPC0015	LD-F	PAL-AfBPP Probe	170459497	FFF-34	386.5	C24H26N4O	57.1	609	3.7	29	1	4	9	InChI=1S/C24H26N4O/c1-2-3-14-24(26-27-24)15-16-25-23(29)21-17-28(18-21)22(19-10-6-4-7-11-19)20-12-8-5-9-13-20/h1,4-13,21-22H,3,14-18H2,(H,25,29)	C#CCCC1(N=N1)CCNC(=O)C2CN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4	C#CCCC1(N=N1)CCNC(=O)C2CN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4	UDMXAOCUXYXPSG-UHFFFAOYSA-N	1-benzhydryl-N-[2-(3-but-3-ynyldiazirin-3-yl)ethyl]azetidine-3-carboxamide
LDPC0016	NPM	ABPP Probe	10214393	209395-32-4; N-propargylmaleimide; 1-(prop-2-yn-1-yl)-2,5-dihydro-1H-pyrrole-2,5-dione; 1H-Pyrrole-2,5-dione,1-(2-propynyl)-(9CI); 1-prop-2-ynylpyrrole-2,5-dione; 1-(prop-2-yn-1-yl)-1H-pyrrole-2,5-dione; n-propargyl maleimide; N-Propargyl-maleimide; 1-(2-Propyn-1-yl)-1H-pyrrole-2,5-dione; SCHEMBL379033; OBYJFWVFCFYKNY-UHFFFAOYSA-N; MFCD12090919; AKOS009808459; MCULE-7990670928; BS-13280; DB-115763; CS-0216479; P2139; EN300-44468; A12257; 1-(PROP-2-YN-1-YL)PYRROLE-2,5-DIONE; Z440631924	135.12	C7H5NO2	37.4	238	0.4	10	0	2	1	InChI=1S/C7H5NO2/c1-2-5-8-6(9)3-4-7(8)10/h1,3-4H,5H2	C#CCN1C(=O)C=CC1=O	C#CCN1C(=O)C=CC1=O	OBYJFWVFCFYKNY-UHFFFAOYSA-N	1-prop-2-ynylpyrrole-2,5-dione
LDPC0017	PF-06672131	ABPP Probe	74766100	(E)-N-(4-((3-Chloro-4-fluorophenyl)amino)-7-(prop-2-yn-1-yloxy)quinazolin-6-yl)-4-(dimethylamino)but-2-enamide; PF-06672131, >=95% (HPLC); 1621002-27-4	453.9	C23H21ClFN5O2	79.4	699	3.7	32	2	7	8	InChI=1S/C23H21ClFN5O2/c1-4-10-32-21-13-19-16(12-20(21)29-22(31)6-5-9-30(2)3)23(27-14-26-19)28-15-7-8-18(25)17(24)11-15/h1,5-8,11-14H,9-10H2,2-3H3,(H,29,31)(H,26,27,28)/b6-5+	CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCC#C	CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCC#C	XZAHPCGWUZFHBI-AATRIKPKSA-N	(E)-N-[4-(3-chloro-4-fluoroanilino)-7-prop-2-ynoxyquinazolin-6-yl]-4-(dimethylamino)but-2-enamide
LDPC0018	Phosphinate-6	ABPP Probe	166084466	.	142.09	C6H7O2P	26.3	204	0.5	9	0	2	2	InChI=1S/C6H7O2P/c1-4-8-9(7,5-2)6-3/h2-3H,4H2,1H3	CCOP(=O)(C#C)C#C	CCOP(=O)(C#C)C#C	ZUTIVNFOYAYLRE-UHFFFAOYSA-N	1-diethynylphosphoryloxyethane
LDPC0019	Photocelecoxib	PAL-AfBPP Probe	146523986	SCHEMBL21903479; PHYDUMPHHQCVBS-UHFFFAOYSA-N; 4-[5-[2-(3-But-3-ynyldiazirin-3-yl)ethoxy]-3-(trifluoromethyl)pyrazol-1-yl]benzenesulfonamide	427.4	C17H16F3N5O3S	120	759	2.9	29	1	10	8	InChI=1S/C17H16F3N5O3S/c1-2-3-8-16(23-24-16)9-10-28-15-11-14(17(18,19)20)22-25(15)12-4-6-13(7-5-12)29(21,26)27/h1,4-7,11H,3,8-10H2,(H2,21,26,27)	C#CCCC1(N=N1)CCOC2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F	C#CCCC1(N=N1)CCOC2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F	PHYDUMPHHQCVBS-UHFFFAOYSA-N	4-[5-[2-(3-but-3-ynyldiazirin-3-yl)ethoxy]-3-(trifluoromethyl)pyrazol-1-yl]benzenesulfonamide
LDPC0020	TM-F	PAL-AfBPP Probe	.	.	358.445	C22H22N4O	48.27	358.1793613	2.9615	27	0	4	7	InChI=1S/C22H22N4O/c1-2-13-25(16-20-23-24-20)22(27)19-14-26(15-19)21(17-9-5-3-6-10-17)18-11-7-4-8-12-18/h1,3-12,19-21H,13-16H2	C#CCN(CC1N=N1)C(=O)C1CN(C(c2ccccc2)c2ccccc2)C1	C#CCN(CC1N=N1)C(=O)C1CN(C(c2ccccc2)c2ccccc2)C1	XSDFVIIHRGLTET-UHFFFAOYSA-N	.
LDPC0021	WYneN	ABPP Probe	.	.	357.393	C23H20NOP	29.1	357.1282509	2.5321	26	1	1	5	InChI=1S/C23H20NOP/c1-2-18-24-23(25)19-26(20-12-6-3-7-13-20,21-14-8-4-9-15-21)22-16-10-5-11-17-22/h1,3-17,19H,18H2,(H,24,25)	[H]C#CC([H])([H])N([H])C(=O)C([H])=P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]	[H]C#CC([H])([H])N([H])C(=O)C([H])=P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]	FBCRXMPOAOVCTO-UHFFFAOYSA-N	.
LDPC0022	WYneO	ABPP Probe	85822756	.	358.4	C23H19O2P	26.3	500	4.1	26	0	2	6	InChI=1S/C23H19O2P/c1-2-18-25-23(24)19-26(20-12-6-3-7-13-20,21-14-8-4-9-15-21)22-16-10-5-11-17-22/h1,3-17,19H,18H2	C#CCOC(=O)C=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3	C#CCOC(=O)C=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3	NDVBBCMLDCYCQD-UHFFFAOYSA-N	prop-2-ynyl 2-(triphenyl-lambda5-phosphanylidene)acetate
LDPC0024	BD-F	PAL-AfBPP Probe	.	.	386.499	C24H26N4O	48.27	386.2106615	3.7417	29	0	4	8	InChI=1S/C24H26N4O/c1-3-15-27(16-14-24(2)25-26-24)23(29)21-17-28(18-21)22(19-10-6-4-7-11-19)20-12-8-5-9-13-20/h1,4-13,21-22H,14-18H2,2H3	C#CCN(CCC1(C)N=N1)C(=O)C1CN(C(c2ccccc2)c2ccccc2)C1	C#CCN(CCC1(C)N=N1)C(=O)C1CN(C(c2ccccc2)c2ccccc2)C1	RQYRZRPMFZQXCX-UHFFFAOYSA-N	.
LDPC0026	JW-RF-010	ABPP Probe	122214082	.	341.1	C11H8IN3O2	40.7	419	4.1	17	0	4	3	InChI=1S/C11H8IN3O2/c13-15-14-8-4-3-7-12-10-6-2-1-5-9(10)11(16)17-12/h1-2,5-6H,4,8H2	C1=CC=C2C(=C1)C(=O)OI2C#CCCN=[N+]=[N-]	C1=CC=C2C(=C1)C(=O)OI2C#CCCN=[N+]=[N-]	ITKZEYJLTXJYBM-UHFFFAOYSA-N	1-(4-azidobut-1-ynyl)-1lambda3,2-benziodoxol-3-one
LDPC0027	TFBX	ABPP Probe	140959280	.	431.17	C13H14F4IN3O	23.6	468	5.5	22	0	7	5	InChI=1S/C13H14F4IN3O/c1-11(2)9-5-3-4-6-10(9)18(22-11)13(16,17)12(14,15)7-8-20-21-19/h3-6H,7-8H2,1-2H3	CC1(C2=CC=CC=C2I(O1)C(C(CCN=[N+]=[N-])(F)F)(F)F)C	CC1(C2=CC=CC=C2I(O1)C(C(CCN=[N+]=[N-])(F)F)(F)F)C	PIIOLZREZZEILU-UHFFFAOYSA-N	1-(4-azido-1,1,2,2-tetrafluorobutyl)-3,3-dimethyl-1lambda3,2-benziodoxole
LDPC0028	SF	ABPP Probe	139207994	SCHEMBL22558330	241.24	C10H8FNO3S	71.6	396	1.1	16	1	4	3	InChI=1S/C10H8FNO3S/c1-2-7-12-10(13)8-3-5-9(6-4-8)16(11,14)15/h1,3-6H,7H2,(H,12,13)	C#CCNC(=O)C1=CC=C(C=C1)S(=O)(=O)F	C#CCNC(=O)C1=CC=C(C=C1)S(=O)(=O)F	IQVNNMXOWXIECE-UHFFFAOYSA-N	4-(prop-2-ynylcarbamoyl)benzenesulfonyl fluoride
LDPC0029	OSF	ABPP Probe	.	.	257.242	C10H8FNO4S	72.47	257.015807	0.6427	17	1	4	4	InChI=1S/C10H8FNO4S/c1-2-7-12-10(13)8-3-5-9(6-4-8)16-17(11,14)15/h1,3-6H,7H2,(H,12,13)	C#CCNC(=O)c1ccc(OS(=O)(=O)F)cc1	C#CCNC(=O)c1ccc(OS(=O)(=O)F)cc1	DUCQRZOXEFQXMZ-UHFFFAOYSA-N	.
LDPC0030	IPIAA_H	ABPP Probe	.	.	269.0771663	C8H12INO	20.31	269.0127033	1.2916	11	0	1	3	InChI=1S/C8H12INO/c1-4-5-10(7(2)3)8(11)6-9/h1,7H,5-6H2,2-3H3/i2+1,3+1,7+1D	[2H][13C]([13CH3])([13CH3])N(CC#C)C(=O)CI	[H]C(C)(C)N(CC#C)C(=O)CI	VAPCCLPJHUUIPR-PZZZPEAOSA-N	.
LDPC0031	IPIAA_L	ABPP Probe	.	.	251.067	C7H10INO	20.31	250.9807119	1.885	10	0	1	2	InChI=1S/C7H10INO/c1-4-5-9(6(2)3)7(8)10/h1,6H,5H2,2-3H3	[H]C(C)(C)N(CC#C)C(=O)I	[H]C(C)(C)N(CC#C)C(=O)I	HENPLZIOFRDZED-UHFFFAOYSA-N	.
LDPC0032	IA-alkyne	ABPP Probe	44448710	N-Hex-5-ynyl-2-iodo-acetamide; IA-alkyne; 930800-38-7; N-hex-5-ynyl-2-iodoacetamide; CHEMBL257362; MFCD18839149; N-(HEX-5-YN-1-YL)-2-IODOACETAMIDE; Iodoacetamide-alkyne;N-Hex-5-ynyl-2-iodo-acetamide; C8H12INO; SCHEMBL15159482; BDBM50376513; AKOS026672328; AS-60028; HY-136205; CS-0120600; E73985	265.09	C8H12INO	29.1	159	1.5	11	1	1	5	InChI=1S/C8H12INO/c1-2-3-4-5-6-10-8(11)7-9/h1H,3-7H2,(H,10,11)	C#CCCCCNC(=O)CI	C#CCCCCNC(=O)CI	YCRUVTMZPHEOAM-UHFFFAOYSA-N	N-hex-5-ynyl-2-iodoacetamide
LDPC0034	2PCA	ABPP Probe	14273	.	431.562	C21H29N5O3S	94.64	431.1991108	1.2641	30	2	6	8	InChI=1S/C21H29N5O3S/c27-13-16-5-3-4-15(22-16)12-25-8-10-26(11-9-25)19(28)7-2-1-6-18-20-17(14-30-18)23-21(29)24-20/h3-5,13,17-18,20H,1-2,6-12,14H2,(H2,23,24,29)/t17-,18-,20-/m0/s1	O=Cc1cccc(CN2CCN(C(=O)CCCC[C@@H]3SC[C@@H]4NC(=O)N[C@@H]43)CC2)n1	O=Cc1cccc(CN2CCN(C(=O)CCCCC3SCC4NC(=O)NC43)CC2)n1	YXEGJJGSBFDZHN-BJLQDIEVSA-N	.
LDPC0035	ATP probe	ABPP Probe	.	.	545.231	C13H18N5O13P3	265.14	545.0113955	-1.1661	34	7	14	10	InChI=1S/C13H18N5O13P3/c1-2-3-14-11-8-12(16-5-15-11)18(6-17-8)13-10(20)9(19)7(29-13)4-28-33(24,25)31-34(26,27)30-32(21,22)23/h1,5-7,9-10,13,19-20H,3-4H2,(H,24,25)(H,26,27)(H,14,15,16)(H2,21,22,23)/t7-,9+,10?,13-/m1/s1	C#CCNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H](O)C1O	C#CCNc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	MUOIWXPACQCYQC-ZIUXOXTBSA-N	.
LDPC0037	Lodoacetamide azide	ABPP Probe	22631550	iodoacetamide azide; BP-28101	268.06	C5H9IN4O	43.5	166	1.5	11	1	3	5	InChI=1S/C5H9IN4O/c6-4-5(11)8-2-1-3-9-10-7/h1-4H2,(H,8,11)	C(CNC(=O)CI)CN=[N+]=[N-]	C(CNC(=O)CI)CN=[N+]=[N-]	QFEQUQOYWKZOOV-UHFFFAOYSA-N	N-(3-azidopropyl)-2-iodoacetamide
LDPC0038	4-Iodoacetamidophenylacetylene	ABPP Probe	102464787	4-iodoacetamidophenylacetylene	285.08	C10H8INO	29.1	222	2	13	1	1	3	InChI=1S/C10H8INO/c1-2-8-3-5-9(6-4-8)12-10(13)7-11/h1,3-6H,7H2,(H,12,13)	C#CC1=CC=C(C=C1)NC(=O)CI	C#CC1=CC=C(C=C1)NC(=O)CI	PWNLVOSIIPHONC-UHFFFAOYSA-N	N-(4-ethynylphenyl)-2-iodoacetamide
LDPC0039	8RK64	ABPP Probe	162677482	8RK64; CHEMBL4802050; GLXC-25767; 8RK-64; BDBM50589875; PD158481; HY-148254; CS-0617269; (S)-N-(5-(2-Azidoacetyl)-4,5,6,7-tetrahydrothiazolo[5,4-c]pyridin-2-yl)-1-cyanopyrrolidine-3-carboxamide	360.4	C14H16N8O2S	132	642	1.4	25	1	8	4	InChI=1S/C14H16N8O2S/c15-8-21-3-1-9(6-21)13(24)19-14-18-10-2-4-22(7-11(10)25-14)12(23)5-17-20-16/h9H,1-7H2,(H,18,19,24)/t9-/m0/s1	C1CN(C[C@H]1C(=O)NC2=NC3=C(S2)CN(CC3)C(=O)CN=[N+]=[N-])C#N	C1CN(CC1C(=O)NC2=NC3=C(S2)CN(CC3)C(=O)CN=[N+]=[N-])C#N	KIWKRCCIHSGWQS-VIFPVBQESA-N	(3S)-N-[5-(2-azidoacetyl)-6,7-dihydro-4H-[1,3]thiazolo[5,4-c]pyridin-2-yl]-1-cyanopyrrolidine-3-carboxamide
LDPC0040	IMP-1710	ABPP Probe	156588934	IMP-1710; 2383117-96-0; (2S)-2-[[4-(5-ethynyl-1H-pyrrolo[2,3-b]pyridin-3-yl)-2,3-dihydro-1H-indol-1-yl]carbonyl]-1-pyrrolidinecarbonitrile; (2S)-2-[4-(5-ethynyl-1H-pyrrolo[2,3-b]pyridin-3-yl)-2,3-dihydroindole-1-carbonyl]pyrrolidine-1-carbonitrile; AKOS040755923; TS-08879; HY-138995; CS-0173655	381.4	C23H19N5O	76	749	3.4	29	1	4	3	InChI=1S/C23H19N5O/c1-2-15-11-18-19(13-26-22(18)25-12-15)16-5-3-6-20-17(16)8-10-28(20)23(29)21-7-4-9-27(21)14-24/h1,3,5-6,11-13,21H,4,7-10H2,(H,25,26)/t21-/m0/s1	C#CC1=CC2=C(NC=C2C3=C4CCN(C4=CC=C3)C(=O)[C@@H]5CCCN5C#N)N=C1	C#CC1=CC2=C(NC=C2C3=C4CCN(C4=CC=C3)C(=O)C5CCCN5C#N)N=C1	FYMVGXGSNIVSKY-NRFANRHFSA-N	(2S)-2-[4-(5-ethynyl-1H-pyrrolo[2,3-b]pyridin-3-yl)-2,3-dihydroindole-1-carbonyl]pyrrolidine-1-carbonitrile
LDPC0042	Sulforaphane-probe2	ABPP Probe	.	.	257.355	C12H19NO3S	54.45	257.1085645	1.5695	17	0	3	7	InChI=1S/C12H19NO3S/c1-4-9-13(12(15)17(16)5-2)10-7-6-8-11(3)14/h1H,5-10H2,2-3H3	C#CCN(CCCCC(C)=O)C(=O)S(=O)CC	C#CCN(CCCCC(C)=O)C(=O)S(=O)CC	KPSPABANVGIZIA-UHFFFAOYSA-N	.
